Scientific_Name,Scientific_Name_upper,Common_Name,Common_Name_upper,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,Marine,Atlantic Region,MAR Region,RV appropiate? ,Not RV appropiate - comments ,Wild_Species
Isurus oxyrinchus,ISURUS OXYRINCHUS,Shortfin Mako,SHORTFIN MAKO,Atlantic population,Endangered,5/3/2019,Atlantic population,No Status,No schedule,,"Prince Edward Island, Atlantic Ocean, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Fishes (marine),,Yes,Yes,Yes,No,,"Imperiled (NM National, NM Atlantic) "
Lamna nasus,LAMNA NASUS,Porbeagle,PORBEAGLE,,Endangered,5/2/2014,,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Yes,Yes,Yes,No,,"Imperiled (NM National, NM Atlantic); Unrankable (B National)"
Lampsilis cariosa,LAMPSILIS CARIOSA,Yellow Lampmussel,YELLOW LAMPMUSSEL,,Special Concern,11/1/2013,,Special Concern,Schedule 1,7/14/2005,"New Brunswick, Nova Scotia",Molluscs,,Yes,Yes,No,,,NA
Lepomis auritus,LEPOMIS AURITUS,Redbreast Sunfish,REDBREAST SUNFISH,,Data Deficient,4/25/2008,,Special Concern,,,New Brunswick,Fishes (freshwater),,Yes,Yes,No,,,NA
Leucoraja ocellata,LEUCORAJA OCELLATA,Winter Skate,WINTER SKATE,"Endangered (Eastern Scotian Shelf - Newfoundland and Gulf of St. Lawrence population); Non-active (Eastern Scotian Shelf, Northern and Southern Gulf-Newfoundland populations)",Endangered,5/1/2015,Eastern Scotian Shelf - Newfoundland population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,No,,,,,"Imperiled (B National, B Atlantic); Unrankable (N National); Unranked (M National, NM Atlantic)"
Macrourus berglax,MACROURUS BERGLAX,Roughhead grenadier,ROUGHHEAD GRENADIER,,No Status,,,No Status,,,,Fishes - Poissons,,,,,,,"Vulnerable (National, Atlantic)"
Makaira nigricans,MAKAIRA NIGRICANS,Blue marlin,BLUE MARLIN,,No Status,,,No Status,,,,Fishes - Poissons,,,,,,,"Vulnerable (National, Atlantic)"
Malacoraja senta,MALACORAJA SENTA,Smooth Skate,SMOOTH SKATE,Funk Island Deep population,Endangered (Funk Island Deep population); Data Deficient (Hopedale Channel and Nose of the Grand Bank populations),5/4/2012,Funk Island Deep population,No Status,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),Addition,Yes,Yes,No,,,"Vulnerable (National, Atlantic)"
Megaptera novaeangliae,MEGAPTERA NOVAEANGLIAE,Humpback Whale,HUMPBACK WHALE,Western North Atlantic and North Pacific populations,Non-active,4/1/1985,Western North Atlantic and North Pacific populations,No Status,No schedule,,"Arctic Ocean, Atlantic Ocean, Pacific Ocean",Mammals (marine),,No,,,,,NA
Mesoplodon bidens,MESOPLODON BIDENS,Sowerby's Beaked Whale,SOWERBY'S BEAKED WHALE,,Special Concern,5/3/2019,,Special Concern,Schedule 1,6/23/2011,Atlantic Ocean,Mammals (marine),Status change,Yes,Yes,Yes,No,,"Vulnerable (National, Atlantic)"
Morone saxatilis,MORONE SAXATILIS,Striped Bass,STRIPED BASS,Bay of Fundy population,Endangered (Bay of Fundy population); Special Concern (Southern Gulf of St. Lawrence population),11/25/2012,Bay of Fundy population,No Status,No schedule,,"Atlantic Ocean, New Brunswick, Nova Scotia",Fishes (freshwater),,Yes,Yes,Yes,Yes,,"Imperiled (BNM Nova Scotia, NM PEI); Vulnerable (N National, NM Atlantic, BNM New Brunswick); Apparently Secure (BM National, BM Quebec)"
Moxostoma hubbsi,MOXOSTOMA HUBBSI,Copper Redhorse,COPPER REDHORSE,,Endangered,5/2/2014,,Endangered,Schedule 1,12/13/2007,Quebec,Fishes (freshwater),Status change,Yes,Yes,No,,,NA
Odobenus rosmarus  rosmarus,ODOBENUS ROSMARUS  ROSMARUS,Atlantic Walrus,ATLANTIC WALRUS,Northwest Atlantic population,Non-active,4/29/2006,Northwest Atlantic population,Extirpated,Schedule 1,6/5/2003,"Prince Edward Island, Atlantic Ocean, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Mammals (marine),,Yes,Yes,No,No,,NA
Orcinus orca,ORCINUS ORCA,Killer Whale,KILLER WHALE,Northwest Atlantic / Eastern Arctic population,Special Concern,11/28/2008,Northwest Atlantic / Eastern Arctic population,No Status,No schedule,,"Arctic Ocean, Atlantic Ocean",Mammals (marine),Addition,Yes,Yes,Yes,No,,"Vulnerable(BN National, Atlantic); Unranked (M National)"
Ovalipes ocellatus,OVALIPES OCELLATUS,Ocellate Lady Crab,OCELLATE LADY CRAB,,No Status,,,No Status,,,,Decapods - Décapodes,,,,,,,"Vulnerable (National, Atlantic)"
Paragorgia johnsoni,PARAGORGIA JOHNSONI,Johnson's Bubblegum Coral,JOHNSON'S BUBBLEGUM CORAL,,No Status,,,No Status,,,,Corals - Coraux,,,,,,,"Vulnerable (National, Atlantic)"
Pennatula phosphorea,PENNATULA PHOSPHOREA,Phosphorescent Sea Pen,PHOSPHORESCENT SEA PEN,,No Status,,,No Status,,,,Corals - Coraux,,,,,,,Vulnerable (Atlantic); Apparently Secure (National) 
Phoca vitulina  mellonae,PHOCA VITULINA  MELLONAE,Harbour Seal Lacs des Loups Marins subspecies,HARBOUR SEAL LACS DES LOUPS MARINS SUBSPECIES,,Endangered,4/27/2018,,Endangered,Schedule 1,4/13/2017,Quebec,Mammals (marine),,Yes,Yes,No,,,NA
Phocoena phocoena,PHOCOENA PHOCOENA,Harbour Porpoise,HARBOUR PORPOISE,Northwest Atlantic population,Special Concern,4/29/2006,Northwest Atlantic population,Threatened,,,Atlantic Ocean,Mammals (marine),,Yes,Yes,Yes,No,,"Vulnerable (BNM National, NM Atlantic)"
Salmo salar,SALMO SALAR,Atlantic Salmon,ATLANTIC SALMON,Anticosti Island population,"Endangered (Anticosti Island, Eastern Cape Breton, Inner Bay of Fundy, Outer Bay of Fundy, Nova Scotia Southern Upland populations); Special Concern (Gaspe-Southern Gulf of St. Lawrence, Inner St. Lawrence, Quebec Eastern and Western North Shore, populations); Threatened (South Newfoundland population)",11/26/2010,Anticosti Island population,Endangered (Inner Bay of Fundy population); No Status (others),No schedule,,"Atlantic Ocean, Quebec",Fishes (marine),Addition,Yes,Yes,No,No,,"Critically Imperiled (BNM Nova Scotia); Imperiled (NM Atlantic, BNM PEI, BM New Brunswick); Vulnerable (B Quebec); Secure (B Newfoundland, B National); Unranked (NM Newfoundland, NM Quebec); Unrankable (NM National) "
